"Comment","Taxon","Taxon_Path"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Arthropoda Crustacea Malacostraca Decapoda Pleocyemata Paguroidea:","Paguroidea","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Paguroidea"
"Cnidaria Anthozoa Hexacorallia Zoanthidea: on hermit crab","Zoantharia","Biota / Animalia / Cnidaria / Anthozoa / Zoantharia"
"Cnidaria Anthozoa Octocorallia Pennatulacea: Umbellula","Umbellula","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Umbellulidae / Umbellula"
"Arthropoda Crustacea Malacostraca Amphipoda: on stalk of sponge or tunicate","Amphipoda","Biota / Animalia / Arthropoda / Malacostraca / Amphipoda"
"Porifera Hexactinellida: Euplectellidae","Euplectellidae","Biota / Animalia / Porifera / Hexactinellida / Lyssacinosida / Euplectellidae"
"Porifera Hexactinellida: x2","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Chordata Tunicata: Pyuridae","Tunicata","Biota / Animalia / Chordata / Tunicata"
"Chordata Actinopterygii Gadiformes Macrouridae:","Macrouridae","Biota / Animalia / Chordata / Teleostei / Gadiformes / Macrouridae"
"Collection D2_DIVE03_SPEC02BIO Chordata Tunicata: Pyruidae","Tunicata","Biota / Animalia / Chordata / Tunicata"
"Annelida Polychaeta: tubes","Polychaeta","Biota / Animalia / Annelida / Polychaeta"
"Foraminifera Xenophyophorea:","Xenophyophoroidea","Biota / Chromista / Foraminifera / Monothalamea"
"Arthropoda Crustacea Maxillopoda Thecostraca Cirripedia:","Cirripedia","Biota / Animalia / Arthropoda / Thecostraca / Cirripedia"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Chordata Actinopterygii Elopmorpha Anguilliformes Synaphobranchidae: x3","Synaphobranchidae","Biota / Animalia / Chordata / Teleostei / Anguilliformes / Synaphobranchidae"
"Echinodermata Holothuroidea:","Holothuroidea","Biota / Animalia / Echinodermata / Holothuroidea"
"Cnidaria Anthozoa Hexacorallia Antipatharia: Stichpathes","Stichopathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Antipathidae / Stichopathes"
"Arthropoda Crustacea Malacostraca Decapoda Brachyura:","Brachyura","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Arthropoda Crustacea Malacostraca Decapoda Brachyura:","Brachyura","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Arthropoda Crustacea Malacostraca Decapoda Dendrobranchiata or Pleocyemata:","Decapoda","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Start EX1806_DIVE04_SPEC01BIO: Stauropathes sp.","Stauropathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Stauropathes"
"Sample collection D2_DIVE04_SPEC01BIO Cnidaria Anthozoa Hexacorallia Antipatharia: Stauropathes","Stauropathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Stauropathes"
"Sample collection D2_DIVE04_SPEC02BIO Cnidaria Anthozoa Hexacorallia Antipatharia: Bathypathes","Bathypathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Bathypathes"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Chordata Actinopterygii Elopmorpha Anguilliformes:","Anguilliformes","Biota / Animalia / Chordata / Teleostei / Anguilliformes"
"Start EX1806_DIVE04_SPEC02BIO: Bathypathes sp.","Bathypathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Bathypathes"
"Chordata Actinopterygii Elopmorpha Anguilliformes Synaphobranchidae:","Synaphobranchidae","Biota / Animalia / Chordata / Teleostei / Anguilliformes / Synaphobranchidae"
"End EX1806_DIVE04_SPEC02BIO: Bathypathes sp.","Bathypathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Bathypathes"
"Cnidaria Anthozoa Hexacorallia Antipatharia: Parantipathes","Parantipathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Parantipathes"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Arthropoda Crustacea Malacostraca Decapoda Dendrobranchiata or Pleocyemata:","Decapoda","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Cnidaria Anthozoa Hexacorallia Scleractinia: Dead","Scleractinia","Biota / Animalia / Cnidaria / Anthozoa / Scleractinia"
"Cnidaria Anthozoa Hexacorallia Scleractinia: Cup coral","Scleractinia","Biota / Animalia / Cnidaria / Anthozoa / Scleractinia"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Hexacorallia Actiniaria:","Actiniaria","Biota / Animalia / Cnidaria / Anthozoa / Actiniaria"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
"Cnidaria Anthozoa Hexacorallia Antipatharia:","Antipatharia","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia"
